feature_set,model,n_features,accuracy,balanced_accuracy,f1,roc_auc
combined,optuna_gradient_boosting,1034,0.9567567567567568,0.7278622540250448,0.6,0.9132379248658318
combined,optuna_random_forest,1034,0.9405405405405406,0.7191413237924866,0.5217391304347826,0.89087656529517
fingerprint,optuna_random_forest,1024,0.9405405405405406,0.7902504472271914,0.5925925925925926,0.8761180679785331
combined,flaml_extra_tree,1034,0.9297297297297298,0.5,0.0,0.8633720930232559
fingerprint,flaml_rf,1024,0.9297297297297298,0.5,0.0,0.8613595706618963
fingerprint,optuna_gradient_boosting,1024,0.9243243243243243,0.6748658318425761,0.4166666666666667,0.8275939177101967
