k,balanced_accuracy_mean,roc_auc_mean,f1_mean
7,0.7633950293338614,0.8336666398494937,0.4511585703190663
5,0.7535421194643168,0.8329822202143724,0.4371604385406925
3,0.7144590687427284,0.7934265787063396,0.40036537756314594
